concept_id,condition,vocabulary_overlap,best_layer,probe_score,p_value,n_positive,n_negative
wasta_001,neutral,0.035714,17,1.0,0.0199,6,6
wasta_001,shipped,0.231884,11,0.6875,0.243781,6,4
wasta_001,tight,0.671875,23,0.4,0.736318,6,6
muruah_001,neutral,0.025641,0,1.0,0.00995,6,6
muruah_001,shipped,0.102941,5,1.0,0.004975,6,4
muruah_001,tight,0.625,17,0.65,0.293532,6,6
diyafa_001,neutral,0.025316,0,1.0,0.00995,6,6
diyafa_001,shipped,0.053333,1,0.875,0.0199,6,4
diyafa_001,tight,0.435484,2,0.45,0.616915,6,6
karam_001,neutral,0.02439,8,1.0,0.00995,6,6
karam_001,shipped,0.098592,2,0.8125,0.064677,6,4
karam_001,tight,0.645161,0,0.25,0.950249,6,6
sharaf_001,neutral,0.038961,0,1.0,0.00995,6,6
sharaf_001,shipped,0.088235,1,0.75,0.124378,6,4
sharaf_001,tight,0.580645,0,0.7,0.268657,6,6
sabr_001,neutral,0.039474,0,1.0,0.0199,6,6
sabr_001,shipped,0.090909,4,0.875,0.00995,6,4
sabr_001,tight,0.432836,16,0.7,0.233831,6,6
silat_rahim_001,neutral,0.025974,0,1.0,0.00995,6,6
silat_rahim_001,shipped,0.125,6,0.6875,0.139303,6,4
silat_rahim_001,tight,0.483333,10,0.6,0.422886,6,6
jiwar_001,neutral,0.073529,0,1.0,0.00995,6,6
jiwar_001,shipped,0.080645,14,0.875,0.049751,6,4
jiwar_001,tight,0.518519,8,0.7,0.218905,6,6
shura_001,neutral,0.026316,5,1.0,0.00995,6,6
shura_001,shipped,0.119403,1,0.75,0.104478,6,4
shura_001,tight,0.517241,4,0.45,0.61194,6,6
majlis_001,neutral,0.075949,17,1.0,0.00995,6,6
majlis_001,shipped,0.144928,2,0.875,0.014925,6,4
majlis_001,tight,0.432432,0,0.75,0.149254,6,6
fazaa_001,neutral,0.02381,15,1.0,0.00995,6,6
fazaa_001,shipped,0.082192,2,1.0,0.004975,6,4
fazaa_001,tight,0.478261,4,0.4,0.716418,6,6
hayaa_001,neutral,0.054054,0,1.0,0.00995,6,6
hayaa_001,shipped,0.095238,2,1.0,0.004975,6,4
hayaa_001,tight,0.396825,11,0.7,0.18408,6,6
